date,open,high,low,close,val,closing_range,chg
2024-01-29,1373.78 ,1379.60 ,1366.84 ,1374.08 ,36031594.00 ,56.74%,0.43%
2024-01-30,1376.29 ,1378.34 ,1370.70 ,1373.14 ,42491736.00 ,31.94%,-0.07%
2024-01-31,1374.35 ,1374.87 ,1359.54 ,1364.52 ,48727611.00 ,32.49%,-0.63%
2024-02-01,1364.13 ,1372.73 ,1357.89 ,1367.96 ,41985313.00 ,67.86%,0.25%
2024-02-02,1376.04 ,1386.67 ,1375.37 ,1384.08 ,45159928.00 ,77.08%,1.18%
2024-02-05,1383.38 ,1389.67 ,1379.86 ,1383.93 ,41218207.00 ,41.49%,-0.01%
2024-02-06,1387.63 ,1400.26 ,1387.12 ,1396.96 ,50708886.00 ,74.89%,0.94%
2024-02-07,1400.20 ,1402.65 ,1394.02 ,1400.02 ,45529595.00 ,69.52%,0.22%
2024-02-08,1399.40 ,1403.80 ,1388.11 ,1388.60 ,43055558.00 ,3.12%,-0.82%
2024-02-09,1390.28 ,1391.44 ,1385.05 ,1388.37 ,29071101.00 ,51.96%,-0.02%
2024-02-12,1389.54 ,1392.47 ,1386.28 ,1389.30 ,25036265.00 ,48.79%,0.07%
2024-02-13,1392.45 ,1397.60 ,1390.56 ,1391.73 ,32836167.00 ,16.62%,0.17%
2024-02-14,1382.07 ,1386.86 ,1378.76 ,1385.11 ,36773488.00 ,78.40%,-0.48%
2024-02-15,1387.05 ,1392.46 ,1383.66 ,1387.27 ,41824689.00 ,41.02%,0.16%
2024-02-16,1394.51 ,1396.90 ,1383.52 ,1386.27 ,43514090.00 ,20.55%,-0.07%
2024-02-19,1383.97 ,1390.92 ,1382.88 ,1387.33 ,31776978.00 ,55.35%,0.08%
2024-02-20,1388.41 ,1388.41 ,1376.82 ,1381.07 ,40381557.00 ,36.67%,-0.45%
2024-02-21,1382.90 ,1395.11 ,1379.02 ,1393.61 ,64814597.00 ,90.68%,0.91%
2024-02-22,1396.08 ,1404.94 ,1393.67 ,1402.47 ,51341256.00 ,78.08%,0.64%
2024-02-23,1404.27 ,1404.65 ,1396.78 ,1398.14 ,48296646.00 ,17.28%,-0.31%
2024-02-27,1397.80 ,1401.14 ,1390.35 ,1393.70 ,55543362.00 ,31.05%,-0.32%
2024-02-28,1389.39 ,1390.26 ,1380.88 ,1382.05 ,54169011.00 ,12.47%,-0.84%
2024-02-29,1380.84 ,1381.37 ,1366.93 ,1370.67 ,73289027.00 ,25.90%,-0.82%
2024-03-01,1370.87 ,1375.00 ,1364.49 ,1367.42 ,49556620.00 ,27.88%,-0.24%
2024-03-04,1370.33 ,1371.69 ,1362.31 ,1362.57 ,40253835.00 ,2.77%,-0.35%
2024-03-05,1358.87 ,1362.46 ,1350.98 ,1359.26 ,39683426.00 ,72.13%,-0.24%
2024-03-06,1356.45 ,1375.47 ,1356.10 ,1370.55 ,40761272.00 ,74.60%,0.83%
2024-03-07,1374.06 ,1377.37 ,1365.07 ,1372.16 ,39388205.00 ,57.64%,0.12%
2024-03-08,1373.41 ,1386.54 ,1373.05 ,1386.42 ,40077077.00 ,99.11%,1.04%
2024-03-11,1384.04 ,1387.55 ,1380.01 ,1380.23 ,33443992.00 ,2.92%,-0.45%
2024-03-12,1383.36 ,1385.65 ,1374.69 ,1379.63 ,40980015.00 ,45.07%,-0.04%
2024-03-13,1379.60 ,1388.32 ,1378.43 ,1384.51 ,40290527.00 ,61.48%,0.35%
2024-03-14,1384.72 ,1395.88 ,1383.26 ,1394.93 ,46462088.00 ,92.47%,0.75%
2024-03-15,1390.42 ,1393.09 ,1386.04 ,1386.04 ,49752037.00 ,0.00%,-0.64%
2024-03-18,1388.40 ,1393.46 ,1385.01 ,1385.94 ,37382749.00 ,11.01%,-0.01%
2024-03-19,1385.26 ,1391.21 ,1382.46 ,1382.46 ,54059287.00 ,0.00%,-0.25%
2024-03-20,1384.93 ,1386.67 ,1372.28 ,1373.18 ,54648473.00 ,6.25%,-0.67%
2024-03-21,1383.61 ,1388.66 ,1382.99 ,1387.62 ,43575083.00 ,81.66%,1.05%
2024-03-22,1383.81 ,1389.68 ,1379.96 ,1381.04 ,39263096.00 ,11.11%,-0.47%
2024-03-25,1381.00 ,1385.61 ,1368.21 ,1372.49 ,41060706.00 ,24.60%,-0.62%
2024-03-26,1373.06 ,1379.27 ,1369.77 ,1377.23 ,41002144.00 ,78.53%,0.35%
2024-03-27,1376.20 ,1384.75 ,1375.33 ,1380.83 ,31698705.00 ,58.39%,0.26%
2024-03-28,1381.81 ,1383.60 ,1368.81 ,1370.34 ,33639123.00 ,10.34%,-0.76%
2024-03-29,1372.98 ,1378.46 ,1371.17 ,1377.94 ,26472784.00 ,92.87%,0.55%
2024-04-01,1379.86 ,1384.32 ,1374.24 ,1379.48 ,27470751.00 ,51.98%,0.11%
2024-04-02,1377.69 ,1382.01 ,1374.77 ,1379.46 ,38175470.00 ,64.78%,0.00%
2024-04-03,1375.06 ,1384.17 ,1374.26 ,1375.69 ,41682206.00 ,14.43%,-0.27%
2024-04-04,1378.15 ,1379.41 ,1368.82 ,1373.89 ,30647155.00 ,47.88%,-0.13%
2024-04-05,1368.80 ,1377.86 ,1368.80 ,1375.58 ,26872224.00 ,74.83%,0.12%
2024-04-09,1378.34 ,1401.11 ,1377.40 ,1401.11 ,48387727.00 ,100.00%,1.86%
2024-04-10,1404.03 ,1411.46 ,1402.89 ,1408.17 ,44378171.00 ,61.61%,0.50%
