symbol,market,sector,pe,div,de,npm,roe
ILINK,SET,ICT,5.4,7.03,1.08,9.29,13.53
ILM,SET,COMM,10.43,6.29,1.1,7.89,13.05
IND,mai,PROPCON,4.97,1.85,0.72,7.51,13.63
INET,SET,ICT,11.71,1.61,4.57,12.81,11.86
INSET,SET,ICT,30.71,2.73,0.69,5.14,6.33
INTUCH,SET,ICT,21.39,3.28,0.01,42880.26,39.32
IP,SET,PERSON,234.5,0.63,0.4,1.42,0.45
IRC,SET,AUTO,8.7,6.16,0.25,12.56,8.85
IRCP,mai,TECH,6.61,5.1,0.99,5.35,7.5
IT,SET,COMM,13.78,2.31,2.05,1.51,9.86
ITC,SET,FOOD,17.46,2.88,0.1,21.21,15.71
ITEL,SET,ICT,11.19,3.35,1.22,6.62,6.69
ITNS,mai,TECH,7.53,8.86,0.18,8.45,8.86
JAK,mai,PROPCON,24.04,4.17,0.86,6.4,3.54
JAS,SET,ICT,1.06,27.76,0.38,20.82,246.91
JCT,SET,PERSON,12.56,5.31,0.15,4.42,6.4
JDF,SET,FOOD,17.29,1.98,0.16,13.87,10.01
JMT,SET,FIN,15.97,4.32,0.44,33.43,6.69
JPARK,mai,SERVICE,16.28,0.6,0.41,41.12,23.8
JR,SET,CONS,99999.99,1.61,1.26,6.49,0
JUBILE,mai,CONSUMP,12.97,4.27,0.31,7.13,9.84
KAMART,SET,COMM,18.34,2.67,0.35,21.31,30.73
KBANK,SET,BANK,7.66,4.23,6.06,15.92,8.83
KBS,SET,FOOD,2.72,10.01,1.47,-1.89,27.06
KCAR,SET,FIN,11.94,7.91,1.45,5.45,4.12
KCE,SET,ETRON,14.16,5.88,0.33,5.85,13.8
KCG,SET,FOOD,11.77,3.61,1.06,4.37,14.51
KDH,SET,HELTH,13.23,2.12,0.23,17.38,18.89
KGI,SET,FIN,11.12,7.42,1.21,20.89,9.94
KIAT,SET,TRANS,11.84,6.25,0.16,3.85,7.49
KISS,SET,PERSON,14.08,3.71,0.2,18.44,16.86
KJL,mai,INDUS,9.65,6.82,0.88,14.81,25.9
KK,mai,SERVICE,30.94,1.24,1.73,0.7,5.63
KKP,SET,BANK,9.78,6.12,7.31,13.87,6.98
KLINIQ,mai,SERVICE,22.45,4.23,0.88,9.82,18.58
KOOL,mai,SERVICE,16.05,4.12,0.39,2.28,3.21
KSL,SET,FOOD,7.44,2.6,1.06,3.69,5.31
KTB,SET,BANK,7.4,4.15,7.16,23.37,9.63
KTC,SET,FIN,17.2,2.61,1.78,27.72,20.34
KTMS,mai,SERVICE,40.99,0.65,0.5,1.66,3.19
KUMWEL,mai,INDUS,15.8,3.85,0.61,6.02,6.3
KUN,SET,PROP,33.77,2.71,2.67,5.13,3.63
KWC,SET,TRANS,19.92,3.39,0.14,22.3,11.82
KWM,mai,INDUS,11.8,4.6,0.26,10.94,10.28
KYE,SET,HOME,9.1,10.33,0.17,15.54,8.41
LALIN,SET,PROP,8.69,8.67,0.89,17.63,6.99
LANNA,SET,ENERG,4.78,14.47,0.37,11.16,21.86
LDC,mai,SERVICE,91.97,2.2,1.06,-1.47,1.29
LEE,SET,AGRI,16.75,3.84,0.14,8.14,4.73
LEO,mai,SERVICE,15.15,5.23,1.06,1.69,7.14
LH,SET,PROP,9.35,10,1.78,10.92,12.93
LHFG,SET,BANK,8.95,3.9,7.3,15.63,4.94
LHK,SET,STEEL,14.27,6.76,0.33,4.68,6.12
LOXLEY,SET,COMM,13.68,5.04,1.08,0.32,3.84
LPH,SET,HELTH,45.62,3.42,0.48,6.81,3.54
LPN,SET,PROP,16.54,4.71,1.08,2.23,2.03
LRH,SET,TOURISM,7.14,3.44,1,20.94,7.21
LST,SET,FOOD,7.85,5.1,0.38,6.51,10.41
M,SET,FOOD,14.32,6.44,0.4,9.12,12.07
MAJOR,SET,MEDIA,14.95,5.05,1.4,3.12,11.76
MASTER,SET,HELTH,29.74,0.05,0.22,20.79,15.25
MATI,SET,MEDIA,1347.77,4.46,0.22,-9.8,0.05
MBK,SET,PROP,15.35,4.22,1.63,24.45,11.04
MC,SET,COMM,11.27,8.82,0.52,16.44,19.25
MCA,mai,SERVICE,14.63,3.1,0.24,2.27,11.3
M-CHAI,SET,HELTH,28.31,2.55,2.59,3.54,6.89
MCS,SET,STEEL,6.99,4.64,0.68,11.05,13.51
MEB,mai,SERVICE,18.21,2.45,0.21,19.49,36.63
MEGA,SET,COMM,15.35,4.92,0.46,9.49,20.28
MENA,SET,TRANS,13.99,2.52,0.55,9.45,6.88
METCO,SET,ETRON,12.01,4.71,0.41,4.53,8.76
MFC,SET,FIN,15.56,4.91,0.41,18.53,17.88
MFEC,SET,ICT,13.82,6.5,1.38,5.61,7.54
MGI,mai,CONSUMP,15.8,3.57,0.3,6.14,43.93
MGT,mai,INDUS,9.04,5,0.4,6.55,14.62
MINT,SET,TOURISM,29.45,2.14,2.85,0.87,6.55
MODERN,SET,HOME,18.55,4.07,0.46,9.2,4.03
MOONG,mai,CONSUMP,19.5,5.94,0.27,2.5,3.34
MOSHI,SET,COMM,31.5,1.35,0.87,14.62,23.63
MSC,SET,ICT,12.89,6.41,0.56,1.11,9.96
MST,SET,FIN,14.32,5.05,2.74,20.53,7.77
MTC,SET,FIN,18.86,0.42,3.79,20.8,17.12
MTI,SET,INSUR,8.83,4.72,3.92,6.51,11.4
NAM,SET,PERSON,18.39,1.97,0.22,21.39,11.06
NAT,mai,TECH,8.36,0.57,0.45,7.3,38.62
NC,SET,FASHION,45.04,0.74,0.69,-0.68,1.92
NCH,SET,PROP,40.62,6.94,0.78,-0.4,0.71
NER,SET,AGRI,4.91,7.3,1.17,5.71,23.19
NETBAY,mai,TECH,17.31,5.32,0.38,36.89,40.5
NEW,SET,HELTH,18.52,2.71,0.25,13.36,9.51
NKI,SET,INSUR,22.32,5.87,1.95,-0.94,2
NL,SET,CONS,12.13,10.88,0.93,0.6,6.83
NNCL,SET,PROP,8.96,6.51,0.24,28.17,10.66
NOBLE,SET,PROP,9.95,14.05,3.34,-0.11,6.27
NOVA,SET,ENERG,3.31,17.01,1.07,-33.75,18.93
NSL,SET,FOOD,18.27,2.15,0.54,9.24,31.03
NTSC,mai,AGRO,11.18,2.98,0.27,8.55,8.74
NTV,SET,HELTH,12.78,4.71,0.14,18.09,14.86
NVD,SET,PROP,14.51,1.87,1.98,1.1,2.99
NYT,SET,TRANS,7.07,12.16,0.97,20.81,15.25
ONEE,SET,MEDIA,21.59,4.02,0.37,9.08,7.1
OR,SET,ENERG,32.7,3.94,0.9,-0.91,4.48
ORI,SET,PROP,6.62,12.5,2.1,16.44,7.06
ORN,SET,PROP,13.65,7.04,0.91,12.86,3.75
OSP,SET,FOOD,40.54,8.13,0.6,-5.39,9.81
PACO,mai,INDUS,11.42,2.86,0.3,5.9,12.15
PANEL,mai,PROPCON,14.7,3.23,0.12,11.5,9.1
PATO,SET,PETRO,13.81,5.99,0.15,15.72,17.91
PB,SET,FOOD,15.78,3.38,0.1,20.9,14.54
PCC,SET,IMM,9.6,7.35,0.98,6.43,10.89
PCSGH,SET,AUTO,13.18,9.35,0.16,10.29,10.06
PDG,mai,INDUS,11.92,3.46,0.27,8.53,11.07
PDJ,SET,FASHION,30.8,5.1,0.72,-8.06,1.65
